"","cell_id","step_ix","simulation_i","sim_time","num_molecules","mult","lib_size"
"136","cell136",4251,87,280.008333333243,9708052,1.31633355599242,5898673
"137","cell137",1649,34,230.008333333288,9838276,0.981055621656122,6632062
"138","cell138",3414,70,240.008333333279,9052503,0.990800590234653,4174860
"139","cell139",143,3,360.00833333317,9438942,1.69599407255813,5539906
"140","cell140",2473,51,140.000000000037,9207705,1.48609602531524,5052567
"141","cell141",1204,25,190.008333333325,10611576,2.02374377583872,12924564
"142","cell142",2429,50,190.008333333325,10120721,0.532140978593782,8385240
"143","cell143",1727,36,30.0083333333323,8720961,0.520742068403808,3818135
"144","cell144",3587,74,10.0000000000001,8363813,0.536369020659105,2904071
"145","cell145",1745,36,210.008333333307,10161596,1.41768680099076,9102195
"146","cell146",869,18,270.008333333252,10024998,1.35380363060699,7732094
"147","cell147",4108,84,320.008333333207,11775795,1.89388133372687,17827285
"148","cell148",2136,44,200.008333333316,9168500,1.02936471666021,4793251
"149","cell149",418,9,170.00000000001,9595260,0.572250946776248,5619999
"150","cell150",2173,45,80.0000000000097,9072572,1.44755911423876,4421246
"151","cell151",1807,37,340.008333333188,10962474,0.771025767901268,13806559
"152","cell152",4113,84,370.008333333161,11870291,0.969375130975722,19330843
"153","cell153",473,10,230.008333333288,9271369,1.88616337776713,5453134
"154","cell154",4437,91,180.000000000001,10280267,1.02755952495146,9934134
"155","cell155",184,4,280.008333333243,10711084,0.541433867119932,13244429
"156","cell156",1897,39,260.008333333261,10383003,0.657536078778866,10568092
"157","cell157",2442,50,320.008333333207,11857175,0.80605558112725,19318610
"158","cell158",4257,87,340.008333333188,11190498,0.659236690548623,14710752
"159","cell159",3617,74,310.008333333216,11709725,0.540399066848974,16930359
"160","cell160",3712,76,280.008333333243,11625503,0.372306886702853,16061883
"161","cell161",4195,86,210.008333333307,10429803,2.12674116756467,10962798
"162","cell162",3402,70,120.000000000042,9057880,1.88603734067177,4228306
"163","cell163",4833,99,220.008333333298,10518567,1.44780384826715,11700957
"164","cell164",1990,41,210.008333333307,10268673,1.29204266104813,9633356
"165","cell165",4302,88,300.008333333225,11355101,0.784379350839715,15378256
"166","cell166",2119,44,30.0083333333323,8526691,1.30278484336557,3613371
"167","cell167",4004,82,260.008333333261,9073317,0.917321942057463,4422339
"168","cell168",2475,51,160.000000000019,9361465,0.465491410320837,5495482
"169","cell169",1545,32,170.00000000001,9924255,1.6127926811817,7156274
"170","cell170",3413,70,230.008333333288,9041181,0.407996293598359,4171799
"171","cell171",4570,94,40.0083333333317,8815212,1.49061911544492,3858045
